words,11
featuring,11
troubled,11
sets,11
forgettable,11
somber,11
adult,11
opening,11
pointless,11
politics,11
bored,11
sure,11
romance,11
racism,11
sequel,11
relentlessly,11
la,11
shyamalan,11
walking,11
issues,11
constant,11
cruelty,11
sentimental,11
knows,11
danger,11
oliver,11
eerie,11
talent,11
sorry,11
finish,11
pic,11
theme,11
adds,11
bring,10
imagination,10
easy,10
up,10
wanted,10
emotion,10
suspenseful,10
easily,10
irritating,10
nightmare,10
unborn,10
parents,10
setting,10
guilt,10
happening,10
robin,10
extremely,10
gothic,10
budget,10
gag,10
boys,10
efforts,10
gay,10
ford,10
contemporary,10
stylish,10
view,10
riveting,10
shameless,10
sobering,10
average,10
addition,10
ri,10
williams,10
provis,10
obviously,10
sound,10
commentary,10
blame,10
straight,10
mother,10
concept,10
where,10
ts,10
most,10
supernatural,10
sinister,10
insight,10
awkward,10
magic,10
intense,10
outrageous,10
spectacular,10
that,10
cool,10
return,10
melodramatic,10
perfect,10
impossible,10
historical,10
taste,10
strikes,10
paced,10
complete,10
force,10
rage,10
witch,10
tribute,10
apart,10
sick,10
has,10
polanski,10
haunted,10
generation,10
based,10
gore,10
impact,10
called,10
pay,10
melancholy,10
asian,10
darkness,10
spectacle,10
sign,10
white,10
vision,10
surface,10
over,10
frantic,10
manns,10
reality,10
paranoid,10
heavy,10
studio,10
begin,10
fan,10
gritty,10
harr,10
runs,10
among,10
trite,9
fake,9
rape,9
telling,9
visually,9
fresh,9
villains,9
motion,9
overly,9
equal,9
animation,9
ironic,9
forces,9
billy,9
worthy,9
ten,9
from,9
perverse,9
were,9
classics,9
legend,9
unforgettable,9
generic,9
embarrassment,9
starring,9
orr,9
directorial,9
cat,9
presents,9
act,9
era,9
harsh,9
civil,9
brilliant,9
green,9
dance,9
stuck,9
total,9
lousy,9
formula,9
loss,9
extraordinary,9
conceived,9
oldfashid,9
hysterical,9
certain,9
consistently,9
relationship,9
engaging,9
repetitive,9
tracy,9
aspects,9
five,9
crnbergs,9
exploitation,9
climax,9
pure,9
ht,9
jokes,9
ru,9
orphan,9
messy,9
amount,9
intelligent,9
appeal,9
faith,9
concoction,9
planet,9
hitchcocks,9
technical,9
poignant,9
fast,9
attraction,9
baseball,9
tradition,9
consir,9
loose,9
shocks,9
harrowing,9
punishment,9
tails,9
century,9
preposterous,9
trick,9
screenwriter,9
serial,9
surprisingly,9
brutality,9
incredibly,9
collapse,9
angry,9
joke,9
job,9
inferior,9
future,9
brain,9
present,9
drug,9
struggle,9
gem,9
usually,9
died,9
harry,9
upon,9
genuine,9
group,9
assault,9
bitter,9
joe,9
again,9
territory,9
cent,9
keeper,9
falls,9
care,9
suggests,9
casting,9
missed,9
ultimate,9
york,9
creates,9
fury,9
paul,9
dubious,8
actir,8
legacy,8
count,8
gross,8
priest,8
slasher,8
change,8
velopment,8
mark,8
fail,8
heat,8
bother,8
focus,8
inevitable,8
misery,8
pain,8
terribly,8
released,8
campy,8
wit,8
basic,8
witty,8
saga,8
ridley,8
chase,8
close,8
totally,8
bla,8
protagonist,8
genres,8
minds,8
absurd,8
manipulative,8
extreme,8
fought,8
levels,8
scribe,8
soon,8
memory,8
points,8
allegory,8
explores,8
supposed,8
french,8
camp,8
emotionally,8
behavior,8
worlds,8
sisters,8
genius,8
note,8
course,8
bore,8
somehow,8
mann,8
itself,8
thin,8
minute,8
disappointed,8
confusing,8
misses,8
minor,8
dismal,8
status,8
beginning,8
insane,8
results,8
aggressively,8
shockingly,8
pacing,8
ii,8
bleak,8
plotting,8
illness,8
car,8
dream,8
realism,8
threat,8
exploits,8
third,8
examination,8
artistic,8
rating,8
mental,8
pg,8
cry,8
intity,8
kevin,8
sitcom,8
hands,8
mindless,8
kelly,8
hills,8
shadow,8
realize,8
alas,8
fly,8
ferrell,8
tail,8
uneasy,8
manipulation,8
talk,8
unsettling,8
south,8
trip,8
stage,8
damn,8
caper,8
score,8
shocker,8
relevant,8
laughably,8
alfred,8
amusing,8
nobody,8
subtle,8
pathetic,8
signed,8
mis,8
structure,8
ordinary,8
viewing,8
current,8
